"lang"
{
	"Language"      "English"
        "npc_dota_custom_creep_31_3" "Crazy Fighter"
        "npc_dota_custom_creep_31_4" "Fiery Demon"
        "npc_dota_custom_creep_32_1" "Spiky Warrior"
        "npc_dota_custom_creep_32_2" "Spiky Warrior"
        "npc_dota_custom_creep_32_3" "Spiky Warrior"
        "npc_dota_custom_creep_33_1" "Anti-Magic Golem"
        "npc_dota_custom_creep_33_2" "Anti-Magic Golem"
        "npc_dota_custom_creep_33_3" "Anti-Magic Golem"
        "npc_dota_custom_creep_34_1" "Mysterious Satyr"
        "npc_dota_custom_creep_34_2" "Mysterious Satyr"
        "npc_dota_custom_creep_34_3" "Mysterious Satyr"
        "npc_dota_custom_creep_35_1" "Genius Engineer"
        "npc_dota_custom_creep_36_1" "Mercurial"
        "npc_dota_custom_creep_36_2" "Mercurial"
        "npc_dota_custom_creep_37_1" "Kunkka"
        "npc_dota_custom_creep_37_2" "Kunkka"
        "npc_dota_custom_creep_38_1" "Medusa"
        "npc_dota_custom_creep_38_2" "Medusa"
        "npc_dota_custom_creep_39_1" "Aiushtha"
        "npc_dota_custom_creep_39_2" "Aiushtha"
        "npc_dota_custom_creep_40_1" "Alien Mind"
		"DOTA_Tooltip_ability_void_my_kupol"					""
		"DOTA_Tooltip_ability_void_my_kupol_Description"		"Deal %damage% Damage Within %radius%."
		"DOTA_Tooltip_ability_void_molnii"						""
		"DOTA_Tooltip_ability_void_molnii_Description"			"If the owner has < 33% health, it deals %damage% damage to a random opponent every second."
		"DOTA_Tooltip_ability_void_boom"						""
		"DOTA_Tooltip_ability_void_boom_Description"			"Within 10 seconds, it begins to accumulate mana, after which it deals all enemies % damage from their maximum health equal to % of the accumulated mana. While accumulating mana, it gains an additional 50% resistance to all damage."
		"DOTA_Tooltip_ability_void_poliana"						""
		"DOTA_Tooltip_my_void_boom_mod"							"Charges mana!"
		"DOTA_Tooltip_ability_void_poliana_Description"			"Every 10 seconds, places an area in the place of a random enemy that deals 200 damage every half second."
		"DOTA_Tooltip_ability_void_red"							""
		"DOTA_Tooltip_ability_void_red_Description"				"The owner has 30%% resistance to all damage."
		"DOTA_Tooltip_ability_void_mini_boom"					""
		"DOTA_Tooltip_ability_void_mini_boom_Description"		"Allocates an area with a radius of %radius% at the location of a random enemy and after a delay deals %damage1% physical damage to all in this area, as well as %damage2% magic damage to all opponents if at least one enemy was in the area at the time of damage."
        "npc_dota_custom_creep_41_1" "Clinkz"
        "npc_dota_custom_creep_41_2" "Clinkz"
        "npc_dota_custom_creep_42_1" "Kaolin"
        "npc_dota_custom_creep_42_2" "Kaolin"
        "npc_dota_custom_creep_43_1" "Necrolyte"
        "npc_dota_custom_creep_43_2" "Rotund'jere"
        "npc_dota_custom_creep_44_1" "Luna"
        "npc_dota_custom_creep_44_2" "Luna"
        "npc_dota_custom_creep_45_1" "Ancient Wizard"
        "npc_dota_custom_creep_45_2" "Pure Energy"
        "npc_dota_custom_creep_46_1" "Abaddon"
        "npc_dota_custom_creep_46_2" "Abaddon"
        "npc_dota_custom_creep_47_1" "Meepo"
        "npc_dota_custom_creep_47_2" "Meepo"
        "npc_dota_custom_creep_48_1" "N'aix"
        "npc_dota_custom_creep_48_2" "N'aix"
        "npc_dota_custom_creep_49_1" "Lesale Deathbringer"
        "npc_dota_custom_creep_49_2" "Lesale Deathbringer"
        "npc_dota_custom_creep_50_1" "Harbinger"
        "npc_dota_custom_creep_51_1" "Harbinger"
		
		"DOTA_Tooltip_ability_my_gem_datadriven"				"Gem"
		"DOTA_Tooltip_ability_my_gem_datadriven_Description"	"Grants the ability to see invisible units."

		"DOTA_Tooltip_modifier_gem_datadriven"					"Gem of Truesight"
		"DOTA_Tooltip_modifier_gem_datadriven_Description"		""

		"npc_dota_venomancer_plague_ward_5"						"Plague Ward"
		"npc_dota_venomancer_plague_ward_6"						"Plague Ward"
		"npc_dota_venomancer_plague_ward_7"						"Plague Ward"
		"npc_my_dalon"											""
		"npc_dota_lycan_wolf5"									"Lycan Wolf"
		"npc_dota_lycan_wolf6"									"Lycan Wolf"
		"npc_dota_lycan_wolf7"									"Lycan Wolf"

		"npc_dota_add_zone_unit1"								"Roshling"
		"npc_dota_add_zone_unit2"								"Beetlejaws the Boxhound"

		"dota_hud_error_cant_use_on_necrobook"		"Cannot use on necrobook minions."
		"dota_hud_error_cant_use_on_wards"			"Cannot use on wards."

		"DOTA_Tooltip_my_black_king_bar"						"Black King Bar"
		"DOTA_Tooltip_my_black_king_bar_Description"			"Spell Immune."

		"DOTA_Tooltip_modifier_ceremonial_robe_aura"				"Ceremonial Aura"
		"DOTA_Tooltip_modifier_ceremonial_robe_aura_Description"	"Status resistance decreased by %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%%, and magic damage increased by %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."

		"DOTA_Tooltip_ability_item_titan_chunk"						"Titan Chunk"
		"DOTA_Tooltip_ability_item_titan_chunk_magic_resistance"		"%+$spell_resist"
		"DOTA_Tooltip_ability_item_titan_chunk_status_resistance"	"%+$status_resist"
		"DOTA_Tooltip_ability_item_titan_chunk_armor"				"+$armor"

		//###################################################################################################################

		"DOTA_Tooltip_ability_phoenix_supernova_datadriven"				"Supernova"
		"DOTA_Tooltip_ability_kotl_tether"								"Tether"
		"DOTA_Tooltip_Ability_kotl_mini_boom"							"Astral Strikes"
		"DOTA_Tooltip_nova_trigger"										"Supernova is ready"
		"DOTA_Tooltip_modifier_supernova_sun_form_caster_datadriven"	"Sun Form"
		"DOTA_Tooltip_modifier_supernova_sun_form_egg_datadriven"		"Sun Form"
		"DOTA_Tooltip_modifier_sun_ray_caster_datadriven"				"SunRay"
		"DOTA_Tooltip_modifier_rupture_datadriven"						"Rupture"
		"DOTA_Tooltip_modifier_rupture_datadriven_Description"			"Deals a percentage of the distance you move as damage"

		"DOTA_Tooltip_modifier_ice_path_stun_datadriven"				"Stun"
		"DOTA_Tooltip_modifier_ice_path_stun_datadriven_Description"	""

		"DOTA_Tooltip_modifier_fire_spirit_stack_datadriven"				"Fire Spirits"
		"DOTA_Tooltip_modifier_fire_spirit_stack_datadriven_Description"	"Fire Spirits ready to launch."
		"DOTA_Tooltip_modifier_fire_spirit_damage_datadriven"				"Fire Spirit Burn"
		"DOTA_Tooltip_modifier_fire_spirit_damage_datadriven_Description"	"Deals damage every second and slows attack speed."

		"DOTA_Tooltip_modifier_supernova_burn_datadriven"				"Sun Burn"
		"DOTA_Tooltip_modifier_supernova_burn_datadriven_Description"	"Deals damage per second."

		"DOTA_Tooltip_modifier_tether_caster_datadriven"				"Tethered"
		"DOTA_Tooltip_modifier_tether_caster_datadriven_Description"	"If you move away from an ally at a distance of 700, you can DIE."
		"DOTA_Tooltip_modifier_tether_ally_datadriven"					"Tethered"
		"DOTA_Tooltip_modifier_tether_ally_datadriven_Description"		"If you move away from an ally at a distance of 700, you can DIE."
		"DOTA_Tooltip_modifier_kotl_mini_boom_debuff"					"Astral Strikes"
		"DOTA_Tooltip_modifier_kotl_mini_boom_debuff_Description"		"Deals 1000 magic damage to the wearer and 4000 magic damage to allies within a radius of 300."

		"DOTA_Tooltip_Ability_clinkz_infernal_breath"				"Infernal Breath"
		"DOTA_Tooltip_Ability_clinkz_infernal_breath_Description"	"Combat practice pays off, increasing the health and damage Clinkz"
		"DOTA_Tooltip_Ability_clinkz_infernal_breath_base_damage"			"BONUS BASE DAMAGE:"
		"DOTA_Tooltip_Ability_clinkz_infernal_breath_health"				"BONUS HEALTH:"
		"DOTA_Tooltip_Ability_clinkz_infernal_breath_scepter_mag_damage"	"%MAGIC DAMAGE AS DAMAGE:"
		"DOTA_Tooltip_Ability_clinkz_infernal_breath_scepter_description"	"Using his infernal power, deals %scepter_mag_damage%%% magic damage depending on the damage."
        
		"DOTA_Tooltip_Ability_my_ice_boom_ult"				"Wyvern's Blast"
		"DOTA_Tooltip_Ability_my_ice_boom_ult_Description"	"<font color='#70EA72'>Winter Wyvern blasts dealing periodical damage to all enemies within %radius% range.</font>"
		"DOTA_Tooltip_Ability_my_ice_boom_ult_damage"		"DAMAGE PER SECOND:"
		"DOTA_Tooltip_Ability_my_ice_boom_ult_duration"		"DURATION:"
		"DOTA_Tooltip_my_ice_boom_ult_debuff"				"Wyvern's Blast"
		"DOTA_Tooltip_my_ice_boom_ult_debuff_Description"	"Deals damage per second."
        
		"DOTA_Tooltip_ability_holdout_gladiators_unite"							"Gladiators, Unite!"
		"DOTA_Tooltip_ability_holdout_gladiators_unite_Description"				"<font color='#70EA72'>Legion Commander calls her allied heroes together to fight in an arena.  Each additional friendly hero that joins the fight in the arena grants additional bonus damage, armor, and lifesteal to each arena combatant.</font>"
		"DOTA_Tooltip_ability_holdout_gladiators_unite_bonus_armor_per_hero"	"BONUS ARMOR PER HERO:"
		"DOTA_Tooltip_ability_holdout_gladiators_unite_bonus_damage_per_hero"	"BONUS DAMAGE PER HERO:"
		"DOTA_Tooltip_ability_holdout_gladiators_unite_lifesteal_per_hero"		"%LIFESTEAL PER HERO:"
		"DOTA_Tooltip_ability_holdout_gladiators_unite_duration"				"DURATION:"
		"DOTA_Tooltip_ability_holdout_gladiators_unite_radius"					"RADIUS:"
		"DOTA_Tooltip_modifier_holdout_gladiators_unite"						"Gladiators, Unite!"
		"DOTA_Tooltip_modifier_holdout_gladiators_unite_Description"			"Gaining %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% bonus armor, %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE% bonus damage, and %dMODIFIER_PROPERTY_TOOLTIP%%% lifesteal on physical attacks."
        
		"DOTA_Tooltip_ability_templar_assassin_refraction_holdout"					"Deflection"
		"DOTA_Tooltip_ability_templar_assassin_refraction_holdout_Lore"				"Manipulating her psionic veil, Lanaya bends nature's law to her will."
		"DOTA_Tooltip_ability_templar_assassin_refraction_holdout_Description"		"<font color='#70EA72'>Templar Assassin creates a defensive shield around herself that absorbs damage and provides a bonus to her damage.</font>"
		"DOTA_Tooltip_ability_templar_assassin_refraction_holdout_Note0"			"Damage as HP Removal bypasses Deflection."
		"DOTA_Tooltip_ability_templar_assassin_refraction_holdout_damage_absorb"	"%DAMAGE ABSORB:"
		"DOTA_Tooltip_ability_templar_assassin_refraction_holdout_bonus_damage"		"%BONUS DAMAGE:"
		"DOTA_Tooltip_ability_templar_assassin_refraction_holdout_duration"			"DURATION:"
        
		"DOTA_Tooltip_ability_treant_leech_seed_nb2017"							"Leech Seed"
		"DOTA_Tooltip_ability_treant_leech_seed_nb2017_Description"				"<font color='#70EA72'>When the cooldown is ready, Leech Seed causes Treant's next attack to</font> plant a life-sapping seed in an enemy unit, draining its health, while simultaneously slowing it. The seed heals friendly units around it.  Pulses 6 times."
		"DOTA_Tooltip_ability_treant_leech_seed_nb2017_Lore"					"Rooftrellen nurtures the beings under his stewardship, sustained by the lifeforce of trespassers into his sacred ground."
		"DOTA_Tooltip_ability_treant_leech_seed_nb2017_leech_damage"			"DAMAGE PER PULSE:"
		"DOTA_Tooltip_ability_treant_leech_seed_nb2017_movement_slow"			"%MOVEMENT SLOW:"
		"DOTA_Tooltip_ability_treant_leech_seed_nb2017_radius"					"RADIUS:"
		"DOTA_Tooltip_ability_treant_leech_seed_nb2017_duration"				"DURATION:"

		"DOTA_Tooltip_ability_treant_great_protector"							"Great Protector"
		"DOTA_Tooltip_ability_treant_great_protector_Description"				"Treant plants his roots and grows in size, gaining large amounts of bonus strength while losing movement speed."
		"DOTA_Tooltip_ability_treant_great_protector_Lore"						""
		"DOTA_Tooltip_ability_treant_great_protector_bonus_strength"			"BONUS STRENGTH:"
		"DOTA_Tooltip_ability_treant_great_protector_move_speed"				"MOVE SPEED:"
		"DOTA_Tooltip_ability_treant_great_protector_duration"					"DURATION:"
		"DOTA_Tooltip_modifier_treant_great_protector"				"Great Protector"
		"DOTA_Tooltip_modifier_treant_great_protector_Description"	"Increasing the size by %dMODIFIER_PROPERTY_MODEL_SCALE%%% increases strength by %dMODIFIER_PROPERTY_EXTRA_STRENGTH_BONUS%, but decreases the speed limit to %dMODIFIER_PROPERTY_MOVESPEED_LIMIT%"
        
		"DOTA_Tooltip_ability_holdout_glacier_arrows"									"Frost Arrows"
		"DOTA_Tooltip_ability_holdout_glacier_arrows_Description"						"Adds a freezing effect to Drow's attacks, slowing enemy movement.\n\nFrost Arrows is a Unique Attack Modifier, and does not stack with other Unique Attack Modifiers."
		"DOTA_Tooltip_ability_holdout_glacier_arrows_Lore"								"Ice-encased arrows pierce the silence, chilling their victims to the core."
		"DOTA_Tooltip_ability_holdout_glacier_arrows_Note0"								"The slow duration is refreshed on successive casts."
		"DOTA_Tooltip_ability_holdout_glacier_arrows_frost_arrows_movement_speed"		"%MOVE SPEED:"
		"DOTA_Tooltip_ability_holdout_glacier_arrows_slow_duration"						"SLOW DURATION:"

		"DOTA_Tooltip_ability_holdout_multishot"										"Quelling Shot"
		"DOTA_Tooltip_ability_holdout_multishot_Description"							"<font color='#70EA72'>Medusa magically splits her shot into several arrows. These arrows deal a lower percent of her normal damage.\n\nThe extra targets will not receive other attack effects (such as critical strike) and Unique Attack Modifiers.</font>"
		"DOTA_Tooltip_ability_holdout_multishot_arrow_count"							"ARROW COUNT:"
        "DOTA_Tooltip_ability_holdout_multishot_data_damage_modifier_tooltip"	        "%OUTGOING DAMAGE:"

		"DOTA_Tooltip_ability_zeus_thundergods_wrath_nb2017"								"Thundergod's Salvation"
		"DOTA_Tooltip_ability_zeus_thundergods_wrath_nb2017_Description"					"<font color='#70EA72'>Zeus calls down an immobile Cloud for each allied hero for protection.  Each Cloud attacks nearby enemies using Zeus' current level of Lightning Bolt.</font>"
		"DOTA_Tooltip_ability_zeus_thundergods_wrath_nb2017_Lore"							"The Lord of Heaven smites all who oppose him, near or far."
		"DOTA_Tooltip_ability_zeus_thundergods_wrath_nb2017_cloud_duration"					"CLOUD DURATION:"
		"DOTA_Tooltip_ability_zeus_thundergods_wrath_nb2017_cloud_bolt_interval"			"CLOUD STRIKE INTERVAL:"
        
		"DOTA_Tooltip_ability_disruptor_glimpse_nb2017"								    "Glimpse"
		"DOTA_Tooltip_ability_disruptor_glimpse_nb2017_Description"					    "Teleports <font color='#70EA72'>all enemy units in the target area back to where they were 4 seconds ago.</font>"
		"DOTA_Tooltip_ability_disruptor_glimpse_nb2017_Lore"							"Playing with electricity can have unexpected results."
		"DOTA_Tooltip_ability_disruptor_glimpse_nb2017_Note0"							"The travel time is a function of the distance the target will travel."
		"DOTA_Tooltip_ability_disruptor_glimpse_nb2017_cast_range"						"CAST RANGE:"
		"DOTA_Tooltip_ability_disruptor_glimpse_nb2017_radius"						    "RADIUS:"
        
        "DOTA_Tooltip_ability_my_new_disr"	                "Summoner"
        "DOTA_Tooltip_ability_my_new_disr_Description"	    "When Shadow Demon use Shadow Poison ability, Shadow Demon summons a controlled unit."
        "DOTA_Tooltip_ability_my_new_disr_damage"	        "UNIT DAMAGE:"
        "DOTA_Tooltip_ability_my_new_disr_health"	        "UNIT HEALTH:"
        "DOTA_Tooltip_ability_my_new_disr_max_units"	    "MAXIMUM UNITS:"
        
        "DOTA_Tooltip_ability_my_new_axe_ult"	            "Blood Madness"
        "DOTA_Tooltip_ability_my_new_axe_ult_Description"	"Calculates damage taken for %timer% seconds and increase Axe strength and armor, depending on the damage dealt to him."
        "DOTA_Tooltip_ability_my_new_axe_ult_bonus_armor"		"ARMOR PER POINT OF DAMAGE:"
        "DOTA_Tooltip_ability_my_new_axe_ult_bonus_str"			"STR PER POINT OF DAMAGE:"
        "DOTA_Tooltip_ability_my_new_axe_ult_duration"			"DURATION:"
		"DOTA_Tooltip_ability_my_new_axe_ult_timer_scepter"		"SCEPTER DAMAGE CALCULATION TIME:"
        "DOTA_Tooltip_modifier_axe_ult"				"Blood Madness"
        "DOTA_Tooltip_modifier_axe_ult_Description"	"Gains additional %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS% strength and %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS% armor."
        "DOTA_Tooltip_modifier_axe_ult_timer"				""
        "DOTA_Tooltip_modifier_axe_ult_timer_Description"	""
		"DOTA_Tooltip_ability_my_new_axe_ult_scepter_description"	"Increases damage calculation time by 1 second."
        
        "DOTA_Tooltip_ability_mirana_arrow_datadriven"	"Sacred Arrow"
        "DOTA_Tooltip_ability_mirana_arrow_datadriven_Description"	"Fires a long-range arrow with deadly precision, which stuns and damages the first enemy unit it strikes. The stun duration ranges from 0.01 to %arrow_max_stun% seconds, with bonus damage up to %arrow_bonus_damage% added, based on the distance the arrow travels to its target."
        "DOTA_Tooltip_ability_mirana_arrow_datadriven_arrow_range"	"RANGE:"
        "DOTA_Tooltip_ability_mirana_arrow_datadriven_arrow_min_stun"	"MINIMUM STUN:"
        "DOTA_Tooltip_ability_mirana_arrow_datadriven_arrow_max_stun"	"MAXIMUM STUN:"
		
		"DOTA_Tooltip_ability_lunas_blessing"				    "Lunar Blessing"
		"DOTA_Tooltip_ability_lunas_blessing_Description"	    "Increases the primary attribute (INCLUDING ITEMS) for Luna and nearby allied heroes."
		"DOTA_Tooltip_ability_lunas_blessing_Lore"	    		"The Goddess of the Moon smiles upon her kin."
		"DOTA_Tooltip_ability_lunas_blessing_radius"			"RADIUS: "
		"DOTA_Tooltip_ability_lunas_blessing_primary_attribute_per"	"%PRIMARY ATTRIBUTE BONUS: "
		"DOTA_Tooltip_modifier_lunas_blessing_buff"					"Lunar Blessing"
		"DOTA_Tooltip_modifier_lunas_blessing_buff_Description"	    "Increases the primary attribute"

		"DOTA_Tooltip_ability_windranger_focusfire"				"Focus Fire"
		"DOTA_Tooltip_ability_windranger_focusfire_Description"	"Windranger summons a whirlwind, reducing her attack speed by %minus_attack_speed%, but increasing the number of arrows fired by %add_arrows% at the attacked enemy. All damage from these attacks will be reduced, excluding damage from item effects.<br><br><br>Upgradable by Aghanim's Scepter."
		"DOTA_Tooltip_ability_windranger_focusfire_Lore"		"Lyralei's ability to bombard opponents with a flurry of arrows is unparalleled - even at the expense of accuracy."
		"DOTA_Tooltip_ability_windranger_focusfire_note0"				"Shoots one arrow even if you don't hit"
		"DOTA_Tooltip_ability_windranger_focusfire_minus_attack_speed"					"ATTACK SPEED REDUCTION:"
		"DOTA_Tooltip_ability_windranger_focusfire_add_arrows"							"ADDITIONAL ARROWS:"
		"DOTA_Tooltip_ability_windranger_focusfire_damage_reduction_tooltip"			"%OUTGOING DAMAGE:"
		"DOTA_Tooltip_ability_windranger_focusfire_damage_reduction_tooltip_scepter"	"%SCEPTER OUTGOING DAMAGE:"
		"DOTA_Tooltip_ability_windranger_focusfire_duration"							"DURATION:"
		"DOTA_Tooltip_ability_windranger_focusfire_cooldown_scepter"					"SCEPTER COOLDOWN:"
		"DOTA_Tooltip_ability_windranger_focusfire_scepter_description"	"Reduces cooldown and decreases damage reduction."
		"DOTA_Tooltip_modifier_windranger_focusfire"				"Focus Fire"
		"DOTA_Tooltip_modifier_windranger_focusfire_Description"	"Decreases attack speed, but increases the number of arrows"
        
		"dota_tooltip_ability_ea_sd_soul_catcher"				"Soul Catcher"
		"dota_tooltip_ability_ea_sd_soul_catcher_description"	"Captures the soul of enemy units in the area, causing them to lose a percentage of their current health. When the debuff is removed, the units gain %health_returned_pct%%% of the lost health back."
		"dota_tooltip_ability_ea_sd_soul_catcher_duration"				"DURATION:"
		"dota_tooltip_ability_ea_sd_soul_catcher_health_lost"			"%HEALTH LOST:"
		"dota_tooltip_ability_ea_sd_soul_catcher_health_returned_pct"	"%HEALTH RETURNED:"
		"dota_tooltip_ability_ea_sd_soul_catcher_radius"				"RADIUS:"
		"dota_tooltip_ability_ea_sd_soul_catcher_lore"					"Trying to resist the Shadow Demon's corruption is mostly a useless endeavor."
		"dota_tooltip_modifier_ea_soul_catcher_debuff"				"Soul Catcher"
		"dota_tooltip_modifier_ea_soul_catcher_debuff_description"	"%dMODIFIER_PROPERTY_TOOLTIP%%% of lost health will be returned to you when the debuff ends."

		"DOTA_Tooltip_ability_antimage_mana_overload"									"Blink Fragment"
		"DOTA_Tooltip_ability_antimage_mana_overload_Description"						"Blinks an illusion at the target enemy or location and attack them for %duration% seconds. Counterspell is replicated on the Blink Fragment illusion."

		"DOTA_Tooltip_ability_bristleback_hairball"								"Hairball"
		"DOTA_Tooltip_ability_bristleback_hairball_Description"					"Coughs a quill-packed hairball towards the target location. Erupts at the location, hitting enemies in a 700 radius with Goo and 2 Quills."
		
        "DOTA_Tooltip_ability_broodmother_silken_bola"                                  "Silken Bola"
        "DOTA_Tooltip_ability_broodmother_silken_bola_Description"                      "Consumes a Spin Web charge and roots the target enemy for %duration% seconds and deals 75 damage per second."
        "DOTA_Tooltip_ability_broodmother_silken_bola_duration"                         "DURATION:"

		"DOTA_Tooltip_ability_dazzle_bad_juju_shard_description"	"Causes Dazzle to launch an attack at the three closest enemies within %radius% range each time he casts an ability."
		
		"DOTA_Tooltip_ability_dragon_knight_elder_dragon_form_shard_description"	"Grants Elder Dragon Form the Fireball ability."
		"DOTA_Tooltip_ability_dragon_knight_fireball"								"Fireball"
		"DOTA_Tooltip_ability_dragon_knight_fireball_Description"					"Provided to Elder Dragon Form. Ignites a %radius% AoE area for %duration% seconds, dealing %damage% damage per second to enemies in it."
		
		"DOTA_Tooltip_ability_jakiro_liquid_ice"				"Liquid Frost"
		"DOTA_Tooltip_ability_jakiro_liquid_ice_Description"	"Applies a frost debuff that slows enemy movement speed by %movement_slow%%% and causes them to lose %base_damage% plus %pct_health_damage%%% of their max health per second for %duration% seconds."
		"DOTA_Tooltip_ability_jakiro_liquid_ice_duration"			"DURATION:"
		"DOTA_Tooltip_ability_jakiro_liquid_ice_movement_slow"		"%MOVEMENT SLOW:"
		"DOTA_Tooltip_ability_jakiro_liquid_ice_base_damage"		"BASE DAMAGE:"
		"DOTA_Tooltip_ability_jakiro_liquid_ice_pct_health_damage"	"%MAX HEALTH DAMAGE:"
		
		"DOTA_Tooltip_ability_kunkka_tidal_wave"					"Tidal Wave"
		"DOTA_Tooltip_ability_kunkka_tidal_wave_Description"		"Releases a Tidal Wave that spawns behind Kunkka. Deals %damage% damage and drags enemies along it for %knockback_distance% distance."
		"DOTA_Tooltip_ability_kunkka_tidal_wave_speed"				"SPEED:"
		"DOTA_Tooltip_ability_kunkka_tidal_wave_radius"				"RADIUS:"
		"DOTA_Tooltip_ability_kunkka_tidal_wave_duration"			"DURATION:"

		"DOTA_Tooltip_ability_lich_ice_spire"						"Ice Spire"
		"DOTA_Tooltip_ability_lich_ice_spire_Description"			"Creates an icicle at the target spot for %duration% seconds, slowing enemies within %aura_radius% range by %bonus_movespeed%%%. Has 600 health.<br><br>Chain Frost can bounce to the Icicle if there are no other enemies in range.<br><br>Can cast Frost Shield on it."
		"DOTA_Tooltip_ability_lich_ice_spire_impact_damage"			"IMPACT DAMAGE:"
		"DOTA_Tooltip_ability_lich_ice_spire_impact_radius"			"IMPACT RADIUS:"
		
		"DOTA_Tooltip_ability_ogre_magi_smash"					"Fire Shield"
		"DOTA_Tooltip_ability_ogre_magi_smash_Description"		"Creates a shield around the target ally, absorbing 70%% of the damage of next %attacks% attacks. Launches fireballs at the attacker, dealing %damage% damage.<br><br>Lasts %duration% seconds."
		"DOTA_Tooltip_ability_ogre_magi_smash_duration"			"DURATION:"
		"DOTA_Tooltip_ability_ogre_magi_smash_attacks"			"NUMBER OF ATTACKS:"
		"DOTA_Tooltip_ability_ogre_magi_smash_damage"			"DAMAGE:"
		
		"DOTA_Tooltip_ability_omniknight_hammer_of_purity"					"Hammer of Purity"
		"DOTA_Tooltip_ability_omniknight_hammer_of_purity_Description"		"Causes Omniknight's next attack to deal bonus pure damage based on %bonus_damage% plus %base_damage%%% of his base damage. He is healed for the same amount of pure damage. Cooldown: 6 seconds"

		"DOTA_Tooltip_ability_pangolier_rollup"						"Roll Up"
		"DOTA_Tooltip_ability_pangolier_rollup_Description"			"Pangolier curls into an immobile protective ball for up to %duration% seconds, gaining magic immunity and allowing him to turn. Can be cast during Rolling Thunder to temporarily hit the brakes. Can cast Rolling Thunder and Shield Crash during Roll Up. If enemies attack Pangolier during this, he will roll away from the attacker for 0.75 seconds, applying Rolling Thunder damage/stun if there are enemies in the way. Cooldown: %cooldown% seconds"

		"DOTA_Tooltip_ability_pangolier_rollup_stop"					"End Roll Up"
		"DOTA_Tooltip_ability_pangolier_rollup_stop_Description"		"Ends Pangolier's Roll Up early."
		
		"DOTA_Tooltip_ability_sniper_concussive_grenade"				"Concussive Grenade"
		"DOTA_Tooltip_ability_sniper_concussive_grenade_Description"	"Grants Concussive Grenade. Deals 125 damage, knocking enemies back %knockback_distance% distance, slowing them by %slow%%% and disarming them for %debuff_duration% seconds. Radius: %radius%"
		"DOTA_Tooltip_modifier_sniper_concussive_grenade_slow"				"Concussive Grenade Slow"
		"DOTA_Tooltip_modifier_sniper_concussive_grenade_slow_Description"	"Slowed by 50%% and disarmed."

        "DOTA_Tooltip_ability_templar_assassin_trap_teleport"				"Psionic Projection"
		"DOTA_Tooltip_ability_templar_assassin_trap_teleport_Description"	"Allows Templar Assassin to teleport to any Psionic Trap after a brief channel. Does not break meld. Detonates the Psionic Trap on arrival."
		"DOTA_Tooltip_ability_templar_assassin_trap_teleport_Lore"			"In reward for her service, Lanaya has been granted access to secrets that unlock new techniques for her psionic gifts."
		"DOTA_Tooltip_ability_templar_assassin_trap_teleport_tooltip_channel_time"	"CHANNEL TIME:"
		"DOTA_Tooltip_ability_templar_assassin_trap_teleport_tooltip_cooldown"		"COOLDOWN:"
		"DOTA_Tooltip_ability_templar_assassin_trap_teleport_trap_bonus_damage"		"TRAP DETONATE DAMAGE:"
		
		"DOTA_Tooltip_ability_tusk_frozen_sigil"						"Frozen Sigil"
		"DOTA_Tooltip_ability_tusk_frozen_sigil_Description"			"Summons a flying Sigil that slows enemy attack by -%attack_slow% and movement speed by -%move_slow%%% for enemies within %sigil_radius% radius. Lasts %sigil_duration% seconds. Cooldown: %cooldown% seconds"
		"DOTA_Tooltip_ability_tusk_frozen_sigil_Lore"					"The chill of home!"
		"DOTA_Tooltip_ability_tusk_frozen_sigil_Note0"					"If no order is given, the Sigil will follow Tusk."
		"DOTA_Tooltip_ability_tusk_frozen_sigil_Note2"					"Heroes deal 1 damage to the sigil, while non-hero units deal 0.25 damage."
		"DOTA_Tooltip_ability_tusk_frozen_sigil_sigil_radius"			"AURA RADIUS:"
		"DOTA_Tooltip_ability_tusk_frozen_sigil_sigil_duration"			"DURATION:"
		"DOTA_Tooltip_ability_tusk_frozen_sigil_move_slow"				"%MOVEMENT SLOW:"
		"DOTA_Tooltip_ability_tusk_frozen_sigil_attack_slow"			"ATTACK SLOW:"
		
		"DOTA_Tooltip_ability_zuus_heavenly_jump"                   "Heavenly Jump"
		"DOTA_Tooltip_ability_zuus_heavenly_jump_Description"       "Jumps forward a distance of %hop_distance% units. Midway through the jump a Arc Lightning is cast on a an enemy within it’s cast range."
		"DOTA_Tooltip_ability_zuus_heavenly_jump_hop_distance"      "DISTANCE:"
		"DOTA_Tooltip_modifier_zuus_static_field"				"Static Field"
		"DOTA_Tooltip_modifier_zuus_static_field_Description"	"Whenever Zeus casts a spell, nearby enemies are shocked for a percent of their current HP"

		"DOTA_Tooltip_ability_phantom_assassin_fan_of_knives"				"Fan of Knives"
		"DOTA_Tooltip_ability_phantom_assassin_fan_of_knives_Description"   "Phantom Assassin releases sharp blades around her in a %radius% AoE, dealing %pct_health_damage_initial%%% of a victim's max health on impact and applying break for %duration% seconds."
		"DOTA_Tooltip_modifier_phantom_assassin_fan_of_knives"				"Fan of Knives"
