"lang"
{
    "Language"	    "german"
        "DOTA_Tooltip_ability_item_shivas_shield_Description"	"<h1>Aktiviert: Arktische Explosion</h1>Feuert eine frostige Welle ab, die Gegnern 4 Sekunden lang %blast_damage% zufügt und deren Bewegungsgeschwindigkeit um 4 Sekunden um %blast_movement_speed_debuff%%%.<br><br>Radius: %blast_final_radius%\n<h1>Passive: Einfrieren von Aura</h1> Verringert die Angriffsgeschwindigkeit des Feindes um %slow_attack_speed_aura%. <br><br>Radius: %aura_radius%\n<h1>Passive: Eisrüstung Aura </h1> Verringert die Angriffsgeschwindigkeit um %slow_attack_speed%  und die Bewegungsgeschwindigkeit um %slow_movement_speed% angreifende Gegner.<br><br>RÜSTUNG VON AURA: %aura_armor%<br>MANA VON AURA: %mana%<br>Radius: %aura_radius%"
        "DOTA_Tooltip_ability_item_shivas_shield_int"	"+$int"
        "DOTA_Tooltip_ability_item_shivas_shield_armor"	"+$armor"
        
        "DOTA_Tooltip_ability_item_energy_sphere"                         "Energie Kugel"
        "DOTA_Tooltip_ability_item_energy_sphere_Description"                         "<h1>Schalten: Mana Schild</h1> Erschafft einen Schild, der den mit Mana erlittenen %absorption_tooltip%%% Schaden absorbiert.<br><br>SCHADEN FÜR EIN MANA: %damage_per_mana%"
		"DOTA_Tooltip_ability_item_energy_sphere_bonus_all"						    "+$all"
		"DOTA_Tooltip_ability_item_energy_sphere_bonus_mana_regen_percentage"         "+$mana_regen"
        "DOTA_Tooltip_Ability_item_energy_sphere_regen"                             "+$hp_regen"
        "DOTA_Tooltip_ability_item_energy_sphere_bonus_damage"	                        "+$damage"
        
        "DOTA_Tooltip_ability_item_water_blades"    "Wasser Carapace"
        "DOTA_Tooltip_ability_item_water_blades_Description"	"<h1>Passive: Reflexion</h1>%otrash%%% des erlittenen Schadens spiegeln sich im Angreifer wider."
        "DOTA_Tooltip_ability_item_water_blades_damage"	"+$damage"
        "DOTA_Tooltip_ability_item_water_blades_agil"	"+$agi"
        "DOTA_Tooltip_ability_item_water_blades_int"	"+$int"
        "DOTA_Tooltip_ability_item_water_blades_attack_speed"	"+$attack"
        "DOTA_Tooltip_Ability_item_water_blades_hp_regen"     "+$hp_regen"
        "DOTA_Tooltip_ability_item_water_blades_armor"	"+$armor"
        
        "DOTA_Tooltip_ability_item_energy_core"    "Energiekern"
        "DOTA_Tooltip_ability_item_energy_core_Description"	"<h1>Passive: Cooldown Reduzierung</h1>Reduziert die Wiederaufladezeit aller Fähigkeiten und Gegenstände um %cooldown%%%.\n<h1>Passive: Zauber Vampirismus</h1>Verleiht magischen Vampirismus, der Gesundheit für Schaden wiederherstellt, der durch Fähigkeiten zugefügt wurde. <br><br>Stellt Gesundheit in Höhe von %hero_lifesteal%%% des Schadens an Helden und %creep_lifesteal%%% des Schadens bei Kriecher wieder her."
        "DOTA_Tooltip_ability_item_energy_core_int"	    "+$int"
		"DOTA_Tooltip_ability_item_energy_core_mana_regen"         "+$mana_regen"
        "DOTA_Tooltip_Ability_item_energy_core_hp"         "+$health"
        "DOTA_Tooltip_ability_item_energy_core_mana"	"+$mana"
        
        "DOTA_Tooltip_ability_item_power_satanic"    "Unheiliges Ikone"
        "DOTA_Tooltip_ability_item_power_satanic_Description"	"<h1>Aktiviert: Unheilige Wut</h1>Erhöht den Effekt von Vampirismus auf %unholy_lifesteal_total_tooltip%%% um %duration% Sekunden.\n<h1>Passive: Vampirismus Aura</h1>VAMPIRISMUS AUS AURA: %lifesteal_percent%%%<br>AURA RADIUS: %aura_radius%"
        "DOTA_Tooltip_ability_item_power_satanic_armor"	"+$armor"
        "DOTA_Tooltip_Ability_item_power_satanic_hp_regen"     "+$hp_regen"
        "DOTA_Tooltip_ability_item_power_satanic_hp"	"+$health"
        "DOTA_Tooltip_Ability_item_power_satanic_str"         "+$str"
        "DOTA_Tooltip_ability_item_power_satanic_damage"	"+$damage"
        
        "DOTA_Tooltip_ability_item_heart_of_light"    "Herz aus Licht"
        "DOTA_Tooltip_ability_item_heart_of_light_Description"	"<h1>Passive: Aura</h1>EXTR. GESUNDHEIT VON AURA: %hp%<br>INTELLEKT VON AURA: %int%<br>AURA RADIUS: %aura_radius%"
        "DOTA_Tooltip_Ability_item_heart_of_light_regen"     "%+$hp_regen"
        "DOTA_Tooltip_Ability_item_heart_of_light_str"         "+$str"
		"DOTA_Tooltip_ability_item_heart_of_light_hp_regen_amp"							"%+Health Regen Amplification"
        
        "DOTA_Tooltip_ability_item_earth_cuirass"    "Erdkürass"
        "DOTA_Tooltip_ability_item_earth_cuirass_Description"	"<h1>Passive: Angriffs aura</h1> Erhöht die Rüstung alliierter Gebäude und Kreaturen um %aura_armor%, und ihre Angriffsgeschwindigkeit um %aura_attack_speed%. Verringert die Rüstung von Gegnern in der Nähe um %armor_red%.<br><br>Radius: %aura_radius%"
        "DOTA_Tooltip_ability_item_earth_cuirass_armor"	"+$armor"
        "DOTA_Tooltip_ability_item_earth_cuirass_attack_speed"	"+$attack"
        
        "DOTA_Tooltip_ability_item_dragon_staff"    "Stab des Drachen"
        "DOTA_Tooltip_ability_item_dragon_staff_Description"	"<h1>Aktiviert: Boost</h1>Erhöht die Angriffsgeschwindigkeit der Geister um 5 Sekunden lang um %attack_speed%.\n<h1>Passive: Geister</h1> - NUR FÜR HELDEN FÜR WEITEREN KAMPF - Zwei Geister erscheinen neben dir, die Gegner im Umkreis von 1000 angreifen. <br> Der Schaden des Geistes ist gleich dem weißen Schaden des Besitzers. "
        "DOTA_Tooltip_Ability_item_dragon_staff_hp"         "+$health"
		"DOTA_Tooltip_ability_item_dragon_staff_mana_regen"         "+$mana_regen"
        "DOTA_Tooltip_ability_item_dragon_staff_agil"	    "+$agi"
        "DOTA_Tooltip_Ability_item_dragon_staff_str"         "+$str"
        
        "DOTA_Tooltip_Ability_item_ice_pipe"         "Eisrohr"
        "DOTA_Tooltip_Ability_item_ice_pipe_Description"         "<h1>Aktiviert: Mini BKB</h1>Verschafft dir und all deinen Verbündeten volle Unverwundbarkeit für 4 Sekunden.\n<h1>Passive: Aura</h1>EXTR. MAGISCHER WIDERSTAND VON AURA: %magic_resistance_aura%%%<br>EXTR. MANA VON AURA: %mana%<br>EXTR. ANGRIFFSGESCHWINDIGKEIT VON AURA: %attack_speed%<br>AURA RADIUS: %aura_radius%"
        "DOTA_Tooltip_ability_item_ice_pipe_magic_resistance"	"%+$spell_resist"
        "DOTA_Tooltip_Ability_item_ice_pipe_health_regen"     "+$hp_regen"
        "DOTA_Tooltip_ability_item_ice_pipe_str"	"+$str"
        "DOTA_Tooltip_ability_item_ice_pipe_damage"	"+$damage"
        
        "DOTA_Tooltip_Ability_item_earth_s_and_y"         "Verfluchter Verschlinger"
        "DOTA_Tooltip_ability_item_earth_s_and_y_Description"	"<h1>Passive: Größerer Maim</h1>Jeder Angriff mit einer Wahrscheinlichkeit von %bonus_chance%%% kann %bonus_chance_damage% Schaden und Verletzungen verursachen, die den Gegner verlangsamen.<br><br>Dauer der Verletzung: %maim_duration%<br>Zeitlupe: %maim_slow_movement%%%<br>Angriffsverzögerung: %maim_slow_attack%"
        "DOTA_Tooltip_ability_item_earth_s_and_y_damage"	"+$damage"
        "DOTA_Tooltip_ability_item_earth_s_and_y_str"	"+$str"
        "DOTA_Tooltip_ability_item_earth_s_and_y_agil"	"+$agi"
        "DOTA_Tooltip_ability_item_earth_s_and_y_bonus_attack_speed"	"+$attack"
        "DOTA_Tooltip_ability_item_earth_s_and_y_movement_speed_bonus"	"+$move_speed"
        
        "DOTA_Tooltip_Ability_item_solar_crest_of_void"         "Leeres Schild"
        "DOTA_Tooltip_ability_item_solar_crest_of_void_Description"	"<h1>Aktiviert: Scheinen</h1>Wenn es für einen Verbündeten verwendet wird, wird seine Rüstung um %armor% erhöht.<br><br>Wenn du einen Gegner benutzt, reduziere seine Rüstung um %armor%.<br><br>Einsatzbereich: %valor_cast_range_tooltip%\n<h1>Passive: Aura</h1>KUR VON AURA: %regen%<br>MANAREGENERATION VON AURA: %mana_regen%<br>DODGERS VON AURA: %evasion%%%<br>AURA RADIUS: %aura_radius%"
        "DOTA_Tooltip_ability_item_solar_crest_of_void_armor"	"+$armor"
        "DOTA_Tooltip_ability_item_solar_crest_of_void_all_atr"	"+$all"
        "DOTA_Tooltip_ability_item_solar_crest_of_void_speed"	"%+$move_speed"
        
        "DOTA_Tooltip_Ability_item_talisman_of_atos"         "Talisman von Atos"
        "DOTA_Tooltip_ability_item_talisman_of_atos_Description"	"<h1>Aktiviert: Schadensreduzierung</h1>Verringert den gesamten verursachten Schaden von %damage_red%%% um %red_duration% Sekunden und entfernt außerdem die meisten negativen Effekte vom Besitzer.<br><br>Zerstreuen Typ: <span class=\"GameplayValues GameplayVariable\">Regulär</span>\n<h1>Passive: Wurzel</h1>Angriffe immobilisieren Gegner für %duration% Sekunden."
        "DOTA_Tooltip_Ability_item_talisman_of_atos_mana_regen"         "+$mana_regen"
        "DOTA_Tooltip_Ability_item_talisman_of_atos_int"         "+$int"
        "DOTA_Tooltip_Ability_item_talisman_of_atos_bonus_strength"         "+$str"
        "DOTA_Tooltip_Ability_item_talisman_of_atos_bonus_agility"         "+$agi"
        "DOTA_Tooltip_Ability_item_talisman_of_atos_damage"         "+$damage"
        
        "DOTA_Tooltip_Ability_item_urn_of_life"         "Lebensurne"
        "DOTA_Tooltip_ability_item_urn_of_life_Description"	"<h1>Aktiviert: Seelenfreilassung</h1>Fügt dem Gegner %dps%  Schaden zu und stellt den Besitzer %hps% Gesundheit pro Sekunde wieder her.<br><br>Gültig für %duration% Sekunden.<br>Einsatzbereich: %valor_cast_range_tooltip%"
        "DOTA_Tooltip_Ability_item_urn_of_life_hp"         "+$health"
        "DOTA_Tooltip_Ability_item_urn_of_life_regen"         "+$hp_regen"
        "DOTA_Tooltip_Ability_item_urn_of_life_mana_regen"         "+$mana_regen"
        "DOTA_Tooltip_Ability_item_urn_of_life_speed"         "+$move_speed"
        "DOTA_Tooltip_Ability_item_urn_of_life_armor"         "+$armor"
        "DOTA_Tooltip_Ability_item_urn_of_life_all_atr"         "+$all"
        
        "DOTA_Tooltip_ability_item_fire_core"    "Feuerkern"
        "DOTA_Tooltip_ability_item_fire_core_Description"	"<h1>Passive: Cooldown Reduzierung</h1>Reduziert die Wiederaufladezeit aller Fähigkeiten und Gegenstände um %cooldown%%%.\n<h1>Passive: Zauber Vampirismus</h1>Verleiht magischen Vampirismus, der Gesundheit für Schaden wiederherstellt, der durch Fähigkeiten zugefügt wurde. <br><br>Stellt Gesundheit in Höhe von %hero_lifesteal%%% des Schadens an Helden und %creep_lifesteal%%% des Schadens bei Kriecher wieder her."
        "DOTA_Tooltip_ability_item_fire_core_int"	    "+$int"
        "DOTA_Tooltip_Ability_item_fire_core_hp"         "+$health"
        "DOTA_Tooltip_ability_item_fire_core_mana"	"+$mana"
        
        "DOTA_Tooltip_Ability_item_skadi_bow"               "Skadi Bogen"
        "DOTA_Tooltip_Ability_item_skadi_bow_Description"         "<h1>Passive: Frostangriff</h1>Indem du Gegner angreifst, verlangst du sie für %duration% Sekunden.<br><br>Zeitlupe: %slow%%%<br>Angriffsverzögerung: %attack_slow%"
        "DOTA_Tooltip_Ability_item_skadi_bow_hp"            "+$health"
        "DOTA_Tooltip_Ability_item_skadi_bow_all_atr"       "+$all"
        "DOTA_Tooltip_Ability_item_skadi_bow_damage"        "+$damage"
        "DOTA_Tooltip_Ability_item_skadi_bow_armor"         "+$armor"
        "DOTA_Tooltip_Ability_item_skadi_bow_mana"          "+$mana"
        
        "DOTA_Tooltip_Ability_item_monkey_king_bow"                    "Affenkönig Bogen"
        "DOTA_Tooltip_Ability_item_monkey_king_bow_damage"        "+$damage"
        "DOTA_Tooltip_ability_item_monkey_king_bow_attack_speed"	"+$attack"
        "DOTA_Tooltip_Ability_item_monkey_king_bow_Description"        "<h1>Passive: MKB</h1>Besitzerangriffe können nicht fehlen.\n<h1>Passive: MKB Aura</h1>EXTR. GESUNDHEIT VON AURA: %hp%<br>EXTR. RÜSTUNG VON AURA: %armor%<br>AURA RADIUS: %aura_radius%<br><br>Jeder Angriff kann mit der Wahrscheinlichkeit in %anti_miss%%%  durch Umgehung führen und %dpa%  zusätzlichen magischen Schaden zufügen."
        
        "DOTA_Tooltip_Ability_item_mystery_cyclone"                             "Geheimnisseszepter der Göttlichkeit"
        "DOTA_Tooltip_ability_item_mystery_cyclone_Description"	                "<h1>Aktiviert: Cyclone</h1> Erhöht alle Verbündeten innerhalb von %radius% des ausgewählten Punktes in die Luft und macht sie für %cyclone_duration% Sekunden unverwundbar. <br><br>Einsatzbereich: %cast_range_tooltip%<br>Zerstreuen Typ: <span class=\"GameplayValues GameplayVariable\">Regulär</span>\n<h1>Passive: Aethereal Focus</h1> Erhöht die Reichweite von Fähigkeiten und Gegenständen um %cast_range%."
        "DOTA_Tooltip_ability_item_mystery_cyclone_bonus_mana"	                "+$mana"
        "DOTA_Tooltip_Ability_item_mystery_cyclone_bonus_movement_speed"        "+$move_speed"
        "DOTA_Tooltip_Ability_item_mystery_cyclone_bonus_intellect"             "+$int"
        "DOTA_Tooltip_Ability_item_mystery_cyclone_bonus_mana_regen"            "+$mana_regen"
        
        "DOTA_Tooltip_Ability_item_kingsbane"                             "Kingsbane"
        "DOTA_Tooltip_ability_item_kingsbane_Description"	                "<h1>Passive: Echo Schlag</h1> Erlaubt Nahkampfhelden, einen doppelten Angriff auszuführen, der für %duration% Sekunden die Bewegungsgeschwindigkeit des Opfers um %slow_speed%%% reduziert.\n<h1>Passive: Seelengebunden</h1> -- NUR FÜR NAHKAMPFHELDEN -- %otrash%%%  des erlittenen Schadens wird auch dem Gegner zugefügt, den du angreifst."
        "DOTA_Tooltip_Ability_item_kingsbane_str"                           "+$str"
        "DOTA_Tooltip_Ability_item_kingsbane_damage"                        "+$damage"
        "DOTA_Tooltip_ability_item_kingsbane_attack_speed"	                "+$attack"
        "DOTA_Tooltip_Ability_item_kingsbane_int"                           "+$int"
        "DOTA_Tooltip_Ability_item_kingsbane_mana_regen"                    "+$mana_regen"
        
        "DOTA_Tooltip_Ability_item_energy_veil"                             "Energieschleier"
        "DOTA_Tooltip_ability_item_energy_veil_Description"	                "<h1>Aktiviert: Magische Schwäche</h1> Für %duration% Sekunden nach dem Angriff verringern sie den Zauberwiderstand des Ziels um %mag_resist%%% на %enemy_duration% Sekunden."
        "DOTA_Tooltip_Ability_item_energy_veil_str"                         "+$str"
        "DOTA_Tooltip_Ability_item_energy_veil_armor"                       "+$armor"
        "DOTA_Tooltip_Ability_item_energy_veil_agil"                        "+$agi"
        "DOTA_Tooltip_Ability_item_energy_veil_int"                         "+$int"
        "DOTA_Tooltip_ability_item_energy_veil_spell_amp"	                "%+zu Fähigkeitsschaden"
        "DOTA_Tooltip_Ability_item_energy_veil_regen"                       "+$hp_regen"
        "DOTA_Tooltip_modifier_item_energy_veil_debuff"                     "Magische Schwäche"
        "DOTA_Tooltip_modifier_item_energy_veil_debuff_Description"         "Magieschaden reduziert um %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."
        
        "DOTA_Tooltip_Ability_item_vampire_robe"                                "Vampirrobe"
        "DOTA_Tooltip_ability_item_vampire_robe_Description"	                "<h1>Passive: Aura</h1>VAMPIRISMUS VON AURA: %lifesteal_percent%%%<br>KUR VON AURA: %regen%<br>EXTR> SCHADEN VON AURA: %damage%<br>EXTR. RÜSTUNG VON AURA: %armor%<br>MANAREGENERATION VON AURA: %mana_regen%<br>AURA RADIUS: %aura_radius%"
        "DOTA_Tooltip_Ability_item_vampire_robe_all_sts"                        "+$all"
        
        "DOTA_Tooltip_Ability_item_mana_blade"                              "Mana Klinge"
        "DOTA_Tooltip_ability_item_mana_blade_Description"	                "<h1>Aktiviert: Inhibit</h1> Verlangsamt den Gegner um %duration% Sekunden.<br><br> Einsatzbereich: %range%\n<h1>Passive: Manabreak</h1> Jeder Angriff brennt %mana_break%  Mana des Feindes und verursacht ihm %prc% Körperlichen Schaden pro verbrannter Mana-Einheit.\n<h1>Passive: Aura</h1>INTELLEKT VON AURA: %aura_int%<br>EXTR. SCHADEN VON AURA: %aura_damage%<br>BEWEGLICHKEIT VON AURA: %aura_agi%<br>AURA RADIUS: %aura_radius%"
        "DOTA_Tooltip_Ability_item_mana_blade_agi"                          "+$agi"
        "DOTA_Tooltip_Ability_item_mana_blade_int"                          "+$int"
        
        "dota_tooltip_ability_item_ice_aluneth"                                                         "Eis Aluneth"
        "dota_tooltip_ability_item_ice_aluneth_description"                                             "<h1>Passive: Aethereal Focus</h1> Erhöht den Einsatzbereich von Fähigkeiten und Gegenständen um %cast_range%."
        "DOTA_Tooltip_ability_item_ice_aluneth_bonus_mana"	                                            "+$mana"
        "DOTA_Tooltip_ability_item_ice_aluneth_mana_regen"	                                            "%+$mana_regen"
        "DOTA_Tooltip_ability_item_ice_aluneth_bonus_int"	                                            "+$int"
        "DOTA_Tooltip_ability_item_ice_aluneth_bonus_str"	                                            "+$str"
        "DOTA_Tooltip_ability_item_ice_aluneth_bonus_agi"	                                            "+$agi"
        "DOTA_Tooltip_Ability_item_ice_aluneth_regen"                                                   "+$hp_regen"
        "DOTA_Tooltip_ability_item_ice_aluneth_spell_amp"	                                            "%+zu Fähigkeitsschaden"
        "DOTA_Tooltip_ability_item_ice_aluneth_bonus_cdr"	                                            "%Reduzierter Verbrauch und Verlust von Mana:"
        
        "DOTA_Tooltip_Ability_item_my_crit"                              "The Caustic Finale"
        "DOTA_Tooltip_ability_item_my_crit_Description"	                 "<h1>Passive: Kritische Treffer</h1> Jeder Angriff kann mit Wahrscheinlichkeit in %crit_c%%% %crit_m%%% Schaden verursachen."
        "DOTA_Tooltip_Ability_item_my_crit_damage"                       "+$damage"
        "DOTA_Tooltip_Ability_item_my_crit_speed"                        "+$move_speed"
        "DOTA_Tooltip_Ability_item_my_crit_hp"                           "+$health"
        "DOTA_Tooltip_Ability_item_my_crit_regen"                        "+$hp_regen"
        
        "DOTA_Tooltip_Ability_item_cuirass_of_life"                    "Kürass des Lebens"
        "DOTA_Tooltip_Ability_item_cuirass_of_life_Description"        "<h1>Aktiviert: Bewachen</h1> Für %duration% Sekunden gibt Helden und Gebäude in der Nähe %bonus_armor% Rüstung und eine Chance von 100% %bonus_block% Schaden von jedem Angriff zu blockieren.<br><br>Radius: %radius%\n<h1>Passive: Schadensblockierung</h1> Blockiert %block% Schaden."
        "DOTA_Tooltip_Ability_item_cuirass_of_life_regen"              "+$hp_regen"
        "DOTA_Tooltip_Ability_item_cuirass_of_life_hp"                 "+$health"
        "DOTA_Tooltip_Ability_item_cuirass_of_life_armor"              "+$armor"
        "DOTA_Tooltip_Ability_item_cuirass_of_life_all_stats"          "+$all"
        
        "DOTA_Tooltip_Ability_item_hammer_of_god"                    "Hammer Gottes"
        "DOTA_Tooltip_Ability_item_hammer_of_god_Description"        "<h1>Aktiviert: Statische Aufladung</h1> Für %duration% Sekunden ist die gewählte Kreatur von einem geladenen Schild umgeben, der mit einer Wahrscheinlichkeit von %act_c%%% kann %act_d%  magischen Schaden für den angreifenden Gegner und %act_j% für andere verursachen.<br><br>Einsatzbereich: %tooltip_range%\n<h1>Passive: Kettenblitz</h1> Jeder Angriff mit einer Wahrscheinlichkeit von %chance%%% kann eine Kettenblitzentladung erzeugen, bei der %jumps% zwischen zufälligen Gegnern innerhalb von %jump_range% springen und jedem %proc_damage% magischen Schaden zufügen.\n<h1>Passive: Aura</h1>EXTR. GESUNDHEIT VON AURA: %aura_hp%<br>EXTR. SCHADEN VON AURA: %aura_damage%<br>EXTR. ANGRIFFSGESCHWINDIGKEIT VON AURA: %aura_speed%<br>AURA RADIUS: %aura_range%"
        "DOTA_Tooltip_Ability_item_hammer_of_god_damage"             "+$damage"
        "DOTA_Tooltip_ability_item_hammer_of_god_attack_speed"	     "+$attack"
        
        //###############################################################################################################################
        
        "DOTA_Tooltip_Ability_item_corrupting_blade"         "Verderbende Klinge"
        "DOTA_Tooltip_ability_item_corrupting_blade_Description"	"<font color='#FFD700'>Relikt</font><br>Die Eigenschaften der Reliquien werden mit ihrer Ebene multipliziert.\n<h1>Passive: Overload</h1> Nach drei Angriffen gibt es eine Ladung Energie in einen zufälligen Gegner ab und verursacht 150% des Hauptschadens des Besitzers."
        "DOTA_Tooltip_ability_item_corrupting_blade_bonus_damage_for_wawe"	"+ Schaden für Welle"
        "DOTA_Tooltip_modifier_item_corrupting_blade"         "+zu Schaden von Verderbende Klinge"
        
        "DOTA_Tooltip_Ability_item_glimmerdark_shield"         "Glimmerschild"
        "DOTA_Tooltip_ability_item_glimmerdark_shield_Description"	"<font color='#FFD700'>Relikt</font><br>Die Eigenschaften der Reliquien werden mit ihrer Ebene multipliziert.\n<h1>Passive: Armor</h1> Wenn du einen Schaden von 10% deiner maximalen Gesundheit erhältst, erhältst du oder deine zufällige Verbündete +5 Rüstung für 5 Sekunden."
        "DOTA_Tooltip_ability_item_glimmerdark_shield_bonus_armor_for_wawe"	"+ Rüstung für Welle"
        "DOTA_Tooltip_modifier_item_glimmerdark_shield"         "+zu Rüstung von Glimmerschild"
        
        "DOTA_Tooltip_Ability_item_guardian_shell"         "Wächter Shell"
        "DOTA_Tooltip_ability_item_guardian_shell_Description"	"<font color='#FFD700'>Relikt</font><br>Die Eigenschaften der Reliquien werden mit ihrer Ebene multipliziert."
        "DOTA_Tooltip_ability_item_guardian_shell_bonus_mag_res_for_wawe"	"%+ magischer Widerstand für Welle"
        "DOTA_Tooltip_modifier_item_guardian_shell"         "%+zu magischer Widerstand von Wächter Shell"
        
        "DOTA_Tooltip_Ability_item_dredged_trident"         "Bagger Dreizack"
        "DOTA_Tooltip_ability_item_dredged_trident_Description"	"<font color='#FFD700'>Relikt</font><br>Die Eigenschaften der Reliquien werden mit ihrer Ebene multipliziert."
        "DOTA_Tooltip_ability_item_dredged_trident_bonus_attack_speed_for_wawe"	"+ Angriffsgeschwindigkeit für Welle"
        "DOTA_Tooltip_modifier_item_dredged_trident"         "+zu Angriffsgeschwindigkeit von Bagger Dreizack"
        
        "DOTA_Tooltip_Ability_item_oblivions_locket"         "Oblivions Medaillon"
        "DOTA_Tooltip_ability_item_oblivions_locket_Description"	"<font color='#FFD700'>Relikt</font><br>Die Eigenschaften der Reliquien werden mit ihrer Ebene multipliziert.\n<h1>Aktiviert: Spuk</h1> Für 1 Sekunde gibt der Held eine gespenstische Form, in der er vor physischem Schaden geschützt ist, aber %extra_spell_damage_percent%%% mehr magischen Schaden nimmt."
        "DOTA_Tooltip_ability_item_oblivions_locket_bonus_all_stats_for_wawe"	"+ alle Attribute für Welle"
        "DOTA_Tooltip_modifier_item_oblivions_locket"         "+zu alle Attribute von Oblivions Medaillon"
        
        "DOTA_Tooltip_Ability_item_ambient_sorcery"         "Ambient Hexerei"
        "DOTA_Tooltip_ability_item_ambient_sorcery_Description"	"<font color='#FFD700'>Relikt</font><br>Die Eigenschaften der Reliquien werden mit ihrer Ebene multipliziert.\n<h1>Passive: Cooldown</h1> Wenn du eine Fähigkeit benutzt, wird die verbleibende Erholungszeit aller Fähigkeiten um 1 Sekunde verringert."
        "DOTA_Tooltip_ability_item_ambient_sorcery_bonus_mana_cst_for_wawe"	"%+ magischer Vampirismus für Welle"
        "DOTA_Tooltip_modifier_item_ambient_sorcery"         "%+zu magischer Vampirismus von Ambient Hexerei"
        
        "DOTA_Tooltip_Ability_item_wand_of_the_brine"         "Stab der Salzlösung"
        "DOTA_Tooltip_ability_item_wand_of_the_brine_Description"	"<font color='#FFD700'>Relikt</font><br>Die Eigenschaften der Reliquien werden mit ihrer Ebene multipliziert."
        "DOTA_Tooltip_ability_item_wand_of_the_brine_bonus_spell_amp_for_wawe"	"%+ Fähigkeitsschaden für Welle"
        "DOTA_Tooltip_modifier_item_wand_of_the_brine"         "%+zu Fähigkeitsschaden von Stab der Salzlösung"
        
        "DOTA_Tooltip_Ability_item_seal_0"         "Siegelbasis"
        "DOTA_Tooltip_Ability_item_seal_0_Description"         "<font color='#FFD700'>Relikt</font>"
        
        //"DOTA_Tooltip_Ability_item_seal_1_Description"         "<font color='#FFD700'>Relikt</font>\n<h1>Passive: Overload</h1> Nach drei Angriffen gibt es eine Ladung Energie in einen zufälligen Gegner ab und verursacht 150% des Hauptschadens des Besitzers."
        //"DOTA_Tooltip_ability_item_seal_1_bonus_damage_for_wawe"	"+ Schaden für Welle"
        
        //"DOTA_Tooltip_Ability_item_seal_2"         "Das zweite Siegel"
        //"DOTA_Tooltip_Ability_item_seal_2_Description"         "<font color='#FFD700'>Relikt</font>\n<h1>Passive: Overload</h1> Nach drei Angriffen gibt es eine Ladung Energie in einen zufälligen Gegner ab und verursacht 150% des Hauptschadens des Besitzers.\n<h1>Passive: Armor</h1> Wenn du einen Schaden von 10% deiner maximalen Gesundheit erhältst, erhältst du oder deine zufällige Verbündete +5 Rüstung für 5 Sekunden."
        //"DOTA_Tooltip_ability_item_seal_2_bonus_damage_for_wawe"	"+ Schaden für Welle"
        //"DOTA_Tooltip_ability_item_seal_2_bonus_armor_for_wawe"	"+ Rüstung für Welle"
        //"DOTA_Tooltip_Ability_item_recipe_seal_2"	"Rezept: Das zweite Siegel"
        
        //"DOTA_Tooltip_Ability_item_seal_3"         "Das dritte Siegel"
        //"DOTA_Tooltip_Ability_item_seal_3_Description"         "<font color='#FFD700'>Relikt</font>\n<h1>Passive: Overload</h1> Nach drei Angriffen gibt es eine Ladung Energie in einen zufälligen Gegner ab und verursacht 150% des Hauptschadens des Besitzers.\n<h1>Passive: Armor</h1> Wenn du einen Schaden von 10% deiner maximalen Gesundheit erhältst, erhältst du oder deine zufällige Verbündete +5 Rüstung für 5 Sekunden.\n<h1>Passive: Cooldown</h1> Wenn du eine Fähigkeit benutzt, wird die verbleibende Erholungszeit aller Fähigkeiten um 1 Sekunde verringert."
        //"DOTA_Tooltip_ability_item_seal_3_bonus_damage_for_wawe"	"+ Schaden für Welle"
        //"DOTA_Tooltip_ability_item_seal_3_bonus_armor_for_wawe"	"+ Rüstung für Welle"
        //"DOTA_Tooltip_ability_item_seal_3_bonus_mag_res_for_wawe"	"%+  magischer Widerstand für Welle"
        //"DOTA_Tooltip_Ability_item_recipe_seal_3"	"Rezept: Das dritte Siegel"
        
        //"DOTA_Tooltip_Ability_item_seal_4"         "Das vierte Siegel"
        //"DOTA_Tooltip_Ability_item_seal_4_Description"         "<font color='#FFD700'>Relikt</font>\n<h1>Passive: Overload</h1> Nach drei Angriffen gibt es eine Ladung Energie in einen zufälligen Gegner ab und verursacht 150% des Hauptschadens des Besitzers.\n<h1>Passive: Armor</h1> Wenn du einen Schaden von 10% deiner maximalen Gesundheit erhältst, erhältst du oder deine zufällige Verbündete +5 Rüstung für 5 Sekunden.\n<h1>Passive: Cooldown</h1> Wenn du eine Fähigkeit benutzt, wird die verbleibende Erholungszeit aller Fähigkeiten um 1 Sekunde verringert."
        //"DOTA_Tooltip_ability_item_seal_4_bonus_damage_for_wawe"	"+ Schaden für Welle"
        //"DOTA_Tooltip_ability_item_seal_4_bonus_armor_for_wawe"	"+ Rüstung für Welle"
        //"DOTA_Tooltip_ability_item_seal_4_bonus_mag_res_for_wawe"	"%+  magischer Widerstand für Welle"
        //"DOTA_Tooltip_ability_item_seal_4_bonus_attack_speed_for_wawe"	"+ Angriffsgeschwindigkeit für Welle"
        //"DOTA_Tooltip_Ability_item_recipe_seal_4"	"Rezept: Das vierte Siegel"
        
        //"DOTA_Tooltip_Ability_item_seal_1"         "Das abschließende Siegel"
        "DOTA_Tooltip_Ability_item_seal_1"         "Siegel"
